"unit_id","project_id","status","name","building","type","floor","rooms","bedrooms","size","price","current_price","source_current_price","price_bin","size_bin","price_per_sqmt","price_per_sqmt_bin","Apartment","Unit_category","blocked","External_managed","reserved_at","sold_perc","sold_perc_cum","first_res_req","first_purchase_at","first_cancelation_req_at","first_cancelation_paid_at","number_of_reservations","sales_start"
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8337",80321,2,Jacarandas - B5 - 09.0.1,4.0,1.0,"00.EG",3.0,2.0,169.01,495000.0,495000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2928.820779835513,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8338",80321,2,Jacarandas - B5 - 09.0.2,4.0,1.0,"00.EG",4.0,3.0,283.95,740000.0,740000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2606.092621940483,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8339",80321,2,Jacarandas - B5 - 09.1.1,4.0,1.0,"01.OG",3.0,2.0,156.25,422100.0,422100.0,CMS,"(139490.0, 431655.0]","(66.0, 734.0]",2701.44,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8340",80321,2,Jacarandas - B5 - 09.1.2,4.0,1.0,"01.OG",4.0,3.0,194.38,599000.0,599000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3081.592756456426,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8341",80321,2,Jacarandas - B5 - 09.2.1,4.0,6.0,"02.OG",4.0,3.0,435.73,1350000.0,1350000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",3098.2489156128795,"(-1.0, 6994.0]",ROOFTOP_APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8342",80321,2,Jacarandas - B5 - 10.0.1,4.0,1.0,"00. EG",4.0,3.0,216.88,555000.0,555000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2559.0188122464037,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8342",80321,2,Jacarandas - B5 - 10.0.1,4.0,1.0,"00. EG",4.0,3.0,216.88,555000.0,555000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2559.0188122464037,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
"8342",80321,2,Jacarandas - B5 - 10.0.1,4.0,1.0,"00. EG",4.0,3.0,216.88,555000.0,555000.0,CMS,"(431655.0, 9490000.0]","(66.0, 734.0]",2559.0188122464037,"(-1.0, 6994.0]",APARTMENT,Apartment,0,0,,0.016666666666666666,,,,,,,2021-07-15
